Size,TestCase,Algorithm,Cost,TimeMs
60,8,SeedDNA_2N,689,12
60,8,SeedDNA_3N,689,11
60,8,SeedDNA_6N,689,16
60,8,SeedDNA_9N,689,22
60,9,Greedy,736,0
60,9,2-Opt,647,0
60,9,SA,638,97
60,9,GA,921,57
60,9,ACO,636,443
60,9,SeedDNA_N,627,16
60,9,SeedDNA_2N,627,19
60,9,SeedDNA_3N,627,17
60,9,SeedDNA_6N,627,26
60,9,SeedDNA_9N,627,25
60,10,Greedy,791,0
60,10,2-Opt,656,0
60,10,SA,632,49
60,10,GA,931,33
60,10,ACO,625,415
60,10,SeedDNA_N,687,15
60,10,SeedDNA_2N,672,10
60,10,SeedDNA_3N,672,13
60,10,SeedDNA_6N,609,16
60,10,SeedDNA_9N,609,24
60,11,Greedy,813,0
60,11,2-Opt,707,1
60,11,SA,670,48
60,11,GA,853,40
60,11,ACO,681,419
60,11,SeedDNA_N,685,11
60,11,SeedDNA_2N,663,16
60,11,SeedDNA_3N,663,14
60,11,SeedDNA_6N,663,16
60,11,SeedDNA_9N,663,24
60,12,Greedy,775,0
60,12,2-Opt,667,0
60,12,SA,640,49
60,12,GA,908,34
60,12,ACO,653,416
60,12,SeedDNA_N,636,8
60,12,SeedDNA_2N,636,17
60,12,SeedDNA_3N,636,17
60,12,SeedDNA_6N,636,16
60,12,SeedDNA_9N,636,22
